의원명,channel_id
장혜영,UCGdB-lgTS2sOhJIxgP550qw
강대식,UCBjEdkZDj17XalrKDmKhyaw
김주영,UCZNx1EOc3M10QqrqJ_6tbGg
김진표,UCkyWFHmOyOWacmQhR4q8krQ
김태년,UC3uJdwzlan5SSQJ-pC5qBqw
남인순,UCALlMT1LcJMlCDJ1FGf2mdQ
민병덕,UCIOhLDkpNcQyHsHSBwd5y_Q
박광온,UCDmngSv6O5UzEgPpUrvcnjw
박수영,UC7rFvX5FGOQymM3Z66nqMMg
박완주,UCL3cD_phTzvLs8f25PP4ZIQ
박용진,UCZE-9tXjvr0TO4i1f-ZpfiQ
박홍근,UCaVYvfVsC1ns3_aE66i6ZIQ
양기대,UCOyX2HYV2vIYVRQPU1rx2QQ
우원식,UCHRXeR8AU6dpmwrmXSifK8w
윤건영,UC2zuYf2hbVSNw5cRhDeqJMg
윤영찬,UC3iNTNl9svEQz_ve-HWTM7Q
이원욱,UCtiqBg_0_W1TNcsF-iw_2fg
이인영,UC0SKvavt8Gtt_c6fUT4A32A
장경태,UCOo1TMHUNV0zhBdIo6aN3vg
정진석,UC6TTTjZ4Lus1EwGqHWfTgqQ
최형두,UCWWBDjcy96DFrfI2VP4IvKQ
하태경,UCi9nKoVjxk576FiYrRLpvvQ
한정애,UCB7pLtzKJanTV0M7n9jDrjA
홍기원,UC67CgEvoFzrRWUEiRkRzE4g
홍익표,UC-x_2hWQwKLzt_fPjnKGiXw
