순,구분,발표자명,발표제목,구분,,,,발표구분,,
1,실시간 라이브,이광춘,결국 문서는 커뮤니케이션이다,확정,,,,실시간 라이브,동영상 녹화,
2,,어수행,수요예측? Forecasting? 우리는 답을 찾을 것이다.,확정,,,,,,
3,,최재성,사회과학 연구자의 R 동행기,확정,,,,진행사항,,
4,,박상훈,재현가능한 연구를 위한 노력: R과 정치학의 만남,확정,,,,확정,평가중,탈락
5,,이민호/김상현,프로덕션 수준의 리포트 자동화 시스템 만들기,확정,,,발표 총계,,,
6,,이준혁,Infinite Shiny World,확정,,실시간 라이브,1,,,
7,동영상 녹화,이영록,?,확정,,동영상 녹화,1,,,
8,,황의찬,납세자의 정서가 조세정책에 미치는 영향,평가중,,,,,,
9,,김진환,R을 프레젠테이션에 싸서 드셔보세요: Rpresentation 사용기,평가중,,,,,,
10,,문건웅,?,,,,,,,
11,,이혜선,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
