"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"강원도 속초시청",강원도 속초시 엑스포로 72 (조양동),강원도 속초시 조양동 1544-1,생활방범,2,200,엑스포타워놀이터공원,30,2017-07,033-639-2178,38.191597,128.5830666,2018-09-06
"강원도 속초시청",강원도 속초시 엑스포로 140 (교동),강원도 속초시 교동 1025-1,생활방범,2,200,석봉도자기미술관앞공원,30,2017-07,033-639-2178,38.1967965,128.5819721,2018-09-06
"강원도 속초시청",강원도 속초시 영랑동 131-188,강원도 속초시 영랑동 131-188,생활방범,2,200,영랑해안4길32공원놀이터,30,2017-07,033-639-2178,38.2155732,128.5956676,2018-09-06
"강원도 속초시청",강원도 속초시 노학동 산337,강원도 속초시 노학동 산337,생활방범,3,200,속초자생식물원,30,2017-07,033-639-2178,38.1968543,128.5235371,2018-09-06
"강원도 속초시청",강원도 속초시 청초호반로 296 (금호동),강원도 속초시 금호동 482-5,생활방범,1,200,속초시사회복지협의회놀이터,30,2017-07,033-639-2178,38.2013591,128.5893498,2018-09-06
"강원도 속초시청",강원도 속초시 미시령로 3388 (교동),강원도 속초시 교동 780-274,생활방범,1,200,설악중학교뒷편놀이터,30,2017-07,033-639-2178,38.2066454,128.5769499,2018-09-06
"강원도 속초시청",강원도 속초시 사진길 24 (장사동),강원도 속초시 장사동 632-78,생활방범,3,200,룸비니어린이집사거리,30,2017-02,033-639-2178,38.2225014,128.5874601,2018-09-06
"강원도 속초시청",강원도 속초시 노학동 65-1,강원도 속초시 노학동 65-1,생활방범,2,200,도리원마을,30,2017-02,033-639-2178,38.1942084,128.5628463,2018-09-06
"강원도 속초시청",강원도 속초시 교동 800-37,강원도 속초시 교동 800-37,생활방범,2,200,킹마트앞놀이터,30,2017-02,033-639-2178,38.2016407,128.5700896,2018-09-06
"강원도 속초시청",강원도 속초시 선사로1길 40-3 (조양동),강원도 속초시 조양동 1511-1,생활방범,2,200,청봉초교앞놀이터,30,2017-02,033-639-2178,38.1879238,128.5879322,2018-09-06
"강원도 속초시청",강원도 속초시 미시령로3337번길 6-15 (교동),강원도 속초시 교동 782-11,시설물관리,6,41,작은도서관 각 열람실,30,2017-12,033-639-3720,38.2060933,128.5717503,2018-09-06
"강원도 속초시청",강원도 속초시 영랑호반길 140 (금호동),강원도 속초시 금호동 600-7,재난재해,1,300,360도전방면,3,2017-11,033-639-2225,38.2142139,128.5807107,2018-09-06
"강원도 속초시청",강원도 속초시 도문동 산151,강원도 속초시 도문동 산151,재난재해,1,300,360도전방면,3,2017-11,033-639-2225,38.1779026,128.5712686,2018-09-06
"강원도 속초시청",강원도 속초시 도문동 산311,강원도 속초시 도문동 산311,재난재해,1,300,360도전방면,3,2017-11,033-639-2225,38.1709642,128.5275677,2018-09-06
"강원도 속초시청",강원도 속초시 설악동 836-9,강원도 속초시 설악동 836-9,재난재해,1,41,360도전방면,3,2017-03,033-639-2225,38.1536576,128.5564016,2018-09-06
"강원도 속초시청",강원도 속초시 노학동 산358,강원도 속초시 노학동 산358,재난재해,1,41,360도전방면,3,2017-03,033-639-2225,38.195792,128.5152319,2018-09-06
"강원도 속초시청",강원도 속초시 설악산로 25-8 (도문동),강원도 속초시 도문동 1656,시설물관리,3,41,쌍천취수장,0,2017-05,033-639-2985,38.1616154,128.6046426,2018-09-06
